,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
42,2021-09-02,784.3686538839451,658.0850077455679,876.6987028348339,784.3686538839451,784.3686538839451,-15.31679530029137,-15.31679530029137,-15.31679530029137,-15.31679530029137,-15.31679530029137,-15.31679530029137,0.0,0.0,0.0,769.0518585836537
43,2021-09-03,787.546753953716,651.9983717570929,875.9091251714146,787.546753953716,787.546753953716,-19.723812365529735,-19.723812365529735,-19.723812365529735,-19.723812365529735,-19.723812365529735,-19.723812365529735,0.0,0.0,0.0,767.8229415881863
44,2021-09-07,800.2591542328003,672.5783833304172,901.9654989311867,800.2591542328003,800.2591542328003,-8.9392516453003,-8.9392516453003,-8.9392516453003,-8.9392516453003,-8.9392516453003,-8.9392516453003,0.0,0.0,0.0,791.3199025875
45,2021-09-08,803.4372543025712,686.5424076201049,908.1877655606582,803.4372543025712,803.4372543025712,-6.863497168393448,-6.863497168393448,-6.863497168393448,-6.863497168393448,-6.863497168393448,-6.863497168393448,0.0,0.0,0.0,796.5737571341778
46,2021-09-09,806.6153543723422,686.0572314472005,897.3655579160393,806.6153543723422,806.6153543723422,-15.316795300294276,-15.316795300294276,-15.316795300294276,-15.316795300294276,-15.316795300294276,-15.316795300294276,0.0,0.0,0.0,791.2985590720479
47,2021-09-10,809.7934544421132,680.6993637047573,895.0194578120914,809.7934544421132,809.7934544421132,-19.72381236550679,-19.72381236550679,-19.72381236550679,-19.72381236550679,-19.72381236550679,-19.72381236550679,0.0,0.0,0.0,790.0696420766064
48,2021-09-13,819.3277546514263,714.8386606931333,919.3755846020732,819.3277546514263,819.3277546514263,-3.6475952903615423,-3.6475952903615423,-3.6475952903615423,-3.6475952903615423,-3.6475952903615423,-3.6475952903615423,0.0,0.0,0.0,815.6801593610647
49,2021-09-14,822.6202971665778,694.2354314415517,930.9873785085076,822.6202971665778,822.6202971665778,-8.93925164529859,-8.93925164529859,-8.93925164529859,-8.93925164529859,-8.93925164529859,-8.93925164529859,0.0,0.0,0.0,813.6810455212792
50,2021-09-15,825.9128396817291,705.5172690346109,930.0547958616619,825.9128396817291,825.9128396817291,-6.8634971684016985,-6.8634971684016985,-6.8634971684016985,-6.8634971684016985,-6.8634971684016985,-6.8634971684016985,0.0,0.0,0.0,819.0493425133274
51,2021-09-16,829.2053821968805,702.6042617346282,925.8910323003159,829.2053821968805,829.2053821968805,-15.316795300312789,-15.316795300312789,-15.316795300312789,-15.316795300312789,-15.316795300312789,-15.316795300312789,0.0,0.0,0.0,813.8885868965676
